season,match_day,date,home_team,away_team,result
2020-2021,14,"Saturday 2 January
17:30 GMT+3",DSC Arminia Bielefeld,Borussia Mönchengladbach,0-1
2020-2021,15,"Friday 8 January
22:30 GMT+3",Borussia Mönchengladbach,FC Bayern München,3-2
2020-2021,16,"Friday 15 January
22:30 GMT+3",1. FC Union Berlin,Bayer 04 Leverkusen,1-0
2020-2021,17,"Tuesday 19 January
20:30 GMT+3",Borussia Mönchengladbach,SV Werder Bremen,1-0
2020-2021,18,"Friday 22 January
22:30 GMT+3",Borussia Mönchengladbach,Borussia Dortmund,4-2
2020-2021,19,"Friday 29 January
22:30 GMT+3",VfB Stuttgart,1. FSV Mainz 05,2-0
2020-2021,20,"Friday 5 February
22:00 GMT+3",Hertha BSC,FC Bayern München,0-1
2020-2021,21,"Friday 12 February
22:30 GMT+3",RB Leipzig,FC Augsburg,2-1
2020-2021,22,"Friday 19 February
22:30 GMT+3",DSC Arminia Bielefeld,VfL Wolfsburg,0-3
2020-2021,23,"Friday 26 February
22:30 GMT+3",SV Werder Bremen,Eintracht Frankfurt,2-1
2020-2021,24,"Friday 5 March
22:30 GMT+3",FC Schalke 04,1. FSV Mainz 05,0-0
2020-2021,25,"Friday 12 March
22:30 GMT+3",FC Augsburg,Borussia Mönchengladbach,3-1
2020-2021,26,"Friday 19 March
22:30 GMT+3",DSC Arminia Bielefeld,RB Leipzig,0-1
2020-2021,27,"Saturday 3 April
16:30 GMT+3",FC Augsburg,TSG Hoffenheim,2-1
2020-2021,28,"Friday 9 April
21:30 GMT+3",DSC Arminia Bielefeld,Sport-Club Freiburg,1-0
2020-2021,29,"Friday 16 April
21:30 GMT+3",RB Leipzig,TSG Hoffenheim,0-0
2020-2021,30,"Tuesday 20 April
19:30 GMT+3",1. FC Köln,RB Leipzig,2-1
2020-2021,31,"Friday 23 April
21:30 GMT+3",FC Augsburg,1. FC Köln,2-3
2020-2021,32,"Friday 7 May
21:30 GMT+3",VfB Stuttgart,FC Augsburg,2-1
2020-2021,33,"Saturday 15 May
16:30 GMT+3",DSC Arminia Bielefeld,TSG Hoffenheim,1-1
2020-2021,34,"Saturday 22 May
16:30 GMT+3",VfB Stuttgart,DSC Arminia Bielefeld,0-2
2021-2022,1,"Friday 13 August
21:30 GMT+3",Borussia Mönchengladbach,FC Bayern München,1-1
